"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15"
0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
0,36,1,0,0,0,12,2,0,0,0,NA,NA,NA,NA
0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
3,3,39,0,18,0,4,33,0,1,0,NA,NA,NA,NA
0,0,8,35,112,0,0,1,100,39,0,NA,NA,NA,NA
0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
0,4,3,0,2,0,4,18,0,14,0,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,0,0,NA,0,0,0,0,NA,0,NA,NA,NA,NA
0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
0,0,2,0,0,0,0,2,0,0,0,NA,NA,NA,NA
0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
0,94,22,0,NA,0,1,21,0,NA,0,NA,NA,NA,NA
0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
0,0,1,0,0,0,0,1,0,0,0,NA,NA,NA,NA
0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
169,615,113,0,NA,18,382,114,1,NA,2,NA,NA,NA,NA
1,0,8,0,NA,1,0,8,1,NA,0,NA,NA,NA,NA
0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
5,0,4,3,NA,3,0,7,1,NA,1,NA,NA,NA,NA
0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
1,78,25,13,2,0,96,50,35,31,0,NA,NA,NA,NA
